DragonID,Assay_Num,Assay_Date,age_days,Reproduced,Sex,Gen_Sex,Status,Col_Period,Col_Date,Estrogen_plate,Estrogen_Dilution,Estrogen_CV,Estrogen_Avg_Hormone,Estrogen_Final,Testosterone_plate,Testosterone_Dilution,Testosterone_CV,Testosterone_Avg_Hormone,Testosterone
82419,8,17/10/2023,NA,M,M,ZZM,M,Earl,2/10/2020,E01,23.3333333,5.1,15.1,352.3333328,T01,25,5.4,206.1,5152.5
9124,64,25/10/2023,919,Y,F,ZZF,Y_ZZF,Earl,29/9/2020,E03,23.3333333,1.3,11.8,275.3333329,T08,8.333333333,5.2,72.4,603.3333333
8086,106,14/11/2023,2090,N,F,ZWF,N_ZWF,Mid,23/12/2020,E05,23.3333333,3.8,9.4,219.333333,T05,16.66666667,5.1,3.9,65
9170,130,19/11/2023,NA,M,M,ZZM,M,Earl,2/10/2020,E06,23.3333333,8,9.7,226.333333,T06,25,5,320.8,8020
3671,99,14/11/2023,2486,M,M,ZZM,M,Earl,29/9/2020,E05,23.3333333,2,7.5,174.9999998,T05,25,4.8,388,9700
9556,113,14/11/2023,NA,N,F,ZWF,N_ZWF,Late,19/4/2021,E05,23.3333333,0.3,14,326.6666662,T05,16.66666667,4.8,1.1,18.33333333
9550,5,17/10/2023,1013,Y,F,ZZF,Y_ZZF,Earl,30/9/2020,E01,23.3333333,3.2,15.4,359.3333328,T01,25,4.7,17.9,447.5
9564,77,9/11/2023,1707,Y,F,ZWF,Y_ZWF,Earl,29/9/2020,E04,23.3333333,0.3,11.6,270.6666663,T04,16.66666667,4.7,12.1,201.6666667
81833,56,25/10/2023,NA,N,F,ZZF,N_ZZF,Late,6/7/2021,E03,23.3333333,0.024155,12,279.9999996,T03,16.66666667,4.6,7.4,123.3333333
9105,108,14/11/2023,1011,M,M,ZZM,M,Late,19/4/2021,E05,23.3333333,0.5,11.7,272.9999996,T05,25,4.3,115.8,2895
81803,128,19/11/2023,657,Y,F,ZWF,Y_ZWF,Mid,23/12/2020,E06,23.3333333,3.5,11.9,277.6666663,T07,8.333333333,4.1,16,133.3333333
82135,63,25/10/2023,632,N,F,ZWF,N_ZWF,Earl,2/10/2020,E03,23.3333333,1.6,15.2,354.6666662,T03,16.66666667,4,189.9,3165
9571,140,19/11/2023,1818,M,M,ZZM,M,Mid,23/12/2020,E06,23.3333333,0.2,9,209.9999997,T06,25,3.8,83.5,2087.5
3671,24,18/10/2023,2486,M,M,ZZM,M,Late,6/7/2021,E02,23.3333333,0.3,8.1,188.9999997,T02,25,3.5,360.6,9015
9140,142,20/11/2023,919,M,M,ZZM,M,Mid,23/12/2020,E07,23.3333333,0.3,14.7,342.9999995,T07,25,3.5,848,21200
9176,33,18/10/2023,919,M,M,ZZM,M,Earl,29/9/2020,E02,23.3333333,4.3,16.1,375.6666661,T02,25,3.5,3620.7,90517.5
9508,35,18/10/2023,NA,M,M,ZZM,M,Earl,30/9/2020,E02,23.3333333,3.4,22.1,515.6666659,T02,25,3.5,112.2,2805
82407,78,9/11/2023,NA,M,M,ZZM,M,Earl,30/9/2020,E04,23.3333333,0.5,14.7,342.9999995,T04,25,3.4,1282,32050
82419,40,18/10/2023,NA,M,M,ZZM,M,Mid,23/12/2020,E02,23.3333333,5,15.4,359.3333328,T02,25,3.4,350.3,8757.5
